Title,Description,Status,Priority,Estimate,Labels,Project,Milestone,Epic,Issue Type
Scaffold monorepo with pnpm workspaces,"User story:
As a developer, I want a clean monorepo so backend and frontend can be developed together.

Acceptance criteria:
- Root repo uses pnpm workspaces.
- Backend and frontend run independently.
- Root script can run both apps.
- Repo follows the agreed structure.

Tasks:
- Create radreport-ai root.
- Add pnpm-workspace.yaml.
- Add root package.json.
- Add .npmrc with shamefully-hoist=true.
- Add .gitignore.
- Create backend workspace.
- Create frontend workspace.
- Add dev scripts.",Backlog,Urgent,2,"area:infra, type:chore, mvp",RadReport AI,Milestone 0: Foundation,Project Foundation,Feature
"Configure TypeScript, linting, and formatting","User story:
As a developer, I want consistent TypeScript and code quality rules across the project.

Acceptance criteria:
- Backend and frontend compile with strict TypeScript.
- Linting works in both workspaces.
- Formatting is consistent.
- Basic quality scripts exist.

Tasks:
- Configure backend tsconfig.
- Configure frontend tsconfig.
- Add ESLint.
- Add Prettier.
- Add lint, format, and typecheck scripts.
- Document conventions.",Backlog,Urgent,2,"area:infra, type:chore, mvp",RadReport AI,Milestone 0: Foundation,Project Foundation,Feature
Add environment configuration and startup validation,"User story:
As a developer, I want safe environment configuration so secrets are never hardcoded.

Acceptance criteria:
- Backend fails fast when required env vars are missing.
- Frontend reads API URL from Vite env.
- Example env files exist.
- No secrets are committed.

Tasks:
- Create backend .env.example.
- Create frontend .env.example.
- Add backend env validation.
- Add frontend VITE_API_URL.
- Add README setup instructions.
- Ensure .env is ignored.",Backlog,Urgent,2,"area:infra, area:backend, type:chore, mvp",RadReport AI,Milestone 0: Foundation,Project Foundation,Feature
Replace custom JWT auth with Supabase Auth,"User story:
As a user, I want secure authentication handled by Supabase Auth.

Acceptance criteria:
- Users can register using Supabase Auth.
- Users can log in using Supabase Auth.
- Frontend stores Supabase session safely.
- Backend verifies Supabase JWTs.
- Custom users.password_hash flow is removed.

Tasks:
- Remove custom bcrypt/JWT auth plan.
- Configure Supabase Auth.
- Add frontend auth client.
- Create register flow.
- Create login flow.
- Create logout flow.
- Create session restore flow.
- Add backend middleware to verify Supabase JWT.
- Create profiles table linked to auth.users.",Backlog,Urgent,5,"area:backend, area:frontend, area:security, mvp",RadReport AI,Milestone 1: Supabase Auth + Database,Supabase Auth and Access Control,Feature
Create profiles table and role model,"User story:
As a user, I want my app profile connected to my Supabase Auth account.

Acceptance criteria:
- profiles.id references auth.users.id.
- Users can read/update their own profile.
- Role supports admin and user.
- RLS protects profile records.

Tasks:
- Create profiles migration.
- Add email, full_name, role, timestamps.
- Add RLS policies.
- Add profile creation trigger after signup.
- Add profile update flow.",Backlog,Urgent,3,"area:database, area:security, mvp",RadReport AI,Milestone 1: Supabase Auth + Database,Supabase Auth and Access Control,Feature
Implement protected frontend routes,"User story:
As an authenticated user, I want protected app routes so private medical data is not exposed.

Acceptance criteria:
- Unauthenticated users are redirected to login.
- Authenticated users can access app pages.
- Session loading state is handled.
- Logout clears local session.

Tasks:
- Create auth provider.
- Create protected route wrapper.
- Create login page.
- Create register page.
- Create logout action.
- Add session loading skeleton.
- Redirect users after login.",Backlog,Urgent,3,"area:frontend, area:security, mvp",RadReport AI,Milestone 1: Supabase Auth + Database,Supabase Auth and Access Control,Feature
Create core medical data migrations,"User story:
As a developer, I want reliable database schemas for patients, reports, and treatments.

Acceptance criteria:
- Core tables exist.
- Tables use created_by linked to auth.users.id.
- Common query indexes exist.
- Duplicate report filenames per patient are blocked.

Tasks:
- Create patients table.
- Create radiology_reports table.
- Create treatment_records table.
- Add created_by UUID references auth.users(id).
- Add updated_at trigger.
- Add indexes.
- Add unique constraint on patient_id and filename.",Backlog,Urgent,5,"area:database, mvp",RadReport AI,Milestone 1: Supabase Auth + Database,Database and RLS,Feature
Enable RLS on all app tables,"User story:
As a user, I want only my own patient data accessible.

Acceptance criteria:
- RLS is enabled on all app tables.
- Users can only access rows they own.
- Unauthorized cross-user access fails.
- Policies are manually tested.

Tasks:
- Enable RLS on profiles.
- Enable RLS on patients.
- Enable RLS on radiology_reports.
- Enable RLS on treatment_records.
- Add select/insert/update/delete policies.
- Write SQL tests for ownership behavior.",Backlog,Urgent,5,"area:database, area:security, privacy, mvp",RadReport AI,Milestone 1: Supabase Auth + Database,Database and RLS,Feature
Configure private Supabase Storage bucket,"User story:
As a user, I want uploaded PDFs stored privately.

Acceptance criteria:
- reports bucket is private.
- Files are scoped by user and patient.
- Users cannot access another user’s files.
- No permanent public PDF URLs are stored.

Tasks:
- Create private reports bucket.
- Define storage path convention.
- Add Supabase storage policies.
- Store storage_path, not public URL.
- Remove public URL assumptions from schema.",Backlog,Urgent,3,"area:backend, area:security, privacy, mvp",RadReport AI,Milestone 3: Private PDF Upload,Private PDF Storage,Feature
Generate signed PDF URLs on demand,"User story:
As a user, I want to view PDFs securely using temporary signed URLs.

Acceptance criteria:
- Signed URLs are generated only for authorized users.
- URLs expire.
- Frontend can open the PDF.
- Expired URLs can be regenerated.

Tasks:
- Create endpoint POST /api/reports/:id/signed-url.
- Verify report ownership.
- Generate Supabase signed URL.
- Return short-lived URL.
- Add View PDF action in frontend.
- Handle expired/failed URL states.",Backlog,Urgent,3,"area:backend, area:frontend, area:security, privacy, mvp",RadReport AI,Milestone 3: Private PDF Upload,Private PDF Storage,Feature
Build patient CRUD API,"User story:
As a user, I want to create, view, update, and delete patient records.

Acceptance criteria:
- All patient routes are protected.
- Users only see their own patients.
- Inputs are validated.
- Search/filter/sort works.

Tasks:
- Create GET /api/patients.
- Create POST /api/patients.
- Create GET /api/patients/:id.
- Create PATCH /api/patients/:id.
- Create DELETE /api/patients/:id.
- Add search, stage, and sort filters.
- Add validation and error handling.",Backlog,Urgent,5,"area:backend, mvp",RadReport AI,Milestone 2: Patient Management,Patient Management,Feature
Build patient list UI,"User story:
As a user, I want to browse and search my patients.

Acceptance criteria:
- Patient list loads from API.
- Search works.
- Stage filtering works.
- Loading, empty, and error states exist.

Tasks:
- Create PatientList page.
- Add search input.
- Add stage filter.
- Add sort dropdown.
- Add patient table/cards.
- Add loading skeleton.
- Add empty state.
- Add error state.",Backlog,Urgent,5,"area:frontend, area:ux, mvp",RadReport AI,Milestone 2: Patient Management,Patient Management,Feature
Build add/edit patient dialog,"User story:
As a user, I want to add and edit patient information in a form.

Acceptance criteria:
- Required fields are validated.
- Patient can be created.
- Patient can be edited.
- UI updates after save.

Tasks:
- Create AddPatientDialog.
- Add patient form fields.
- Add frontend validation.
- Connect create mutation.
- Connect update mutation.
- Invalidate patient queries after save.",Backlog,Urgent,5,"area:frontend, area:ux, mvp",RadReport AI,Milestone 2: Patient Management,Patient Management,Feature
Build patient detail page,"User story:
As a user, I want a full patient profile with reports and treatments.

Acceptance criteria:
- Patient detail loads by ID.
- Header shows key medical data.
- Biomarker badges render.
- Tabs are available.

Tasks:
- Create PatientDetail.
- Add patient header.
- Add cancer stage badge.
- Add ER/PR/HER2 badges.
- Add Overview, Timeline, Treatments, and Comparison tabs.
- Load reports and treatments.",Backlog,Urgent,5,"area:frontend, mvp",RadReport AI,Milestone 2: Patient Management,Patient Management,Feature
Build secure PDF upload endpoint,"User story:
As a user, I want to upload a PDF report for a patient.

Acceptance criteria:
- Only PDFs are accepted.
- Max file size is 20 MB.
- Duplicate filename per patient is blocked.
- File is stored privately.
- Report record is created.

Tasks:
- Configure multer.
- Validate MIME type.
- Validate file extension.
- Validate max size.
- Verify patient ownership.
- Check duplicate report filename.
- Upload to private Supabase Storage.
- Create report record with pending status.
- Store storage path.",Backlog,Urgent,5,"area:backend, area:security, mvp",RadReport AI,Milestone 3: Private PDF Upload,Report Upload and Immediate Processing,Feature
Implement immediate report processing,"User story:
As a user, I want my uploaded report processed immediately after upload.

Acceptance criteria:
- Upload triggers processing in the same flow.
- Status changes from pending to processing.
- PDF text is extracted.
- Claude analysis runs.
- Report is updated.
- Status becomes completed or failed.

Tasks:
- Create report processing service.
- Set status to processing.
- Extract PDF text.
- Call Claude analysis.
- Validate AI output.
- Store structured extraction.
- Store raw text.
- Store processing time.
- Set status to completed.
- On error, set status to failed.
- Return final report state.",Backlog,Urgent,8,"area:backend, area:ai, mvp",RadReport AI,Milestone 4: Immediate AI Processing,Report Upload and Immediate Processing,Feature
Build PDF parsing service,"User story:
As a user, I want the app to extract text from uploaded PDF reports.

Acceptance criteria:
- PDF text is extracted reliably.
- Empty/unreadable PDFs fail gracefully.
- Raw text is stored privately.
- Errors are user-friendly.

Tasks:
- Add pdf-parse.
- Create pdfService.
- Extract raw text from uploaded file.
- Detect empty text.
- Handle encrypted PDFs.
- Handle malformed PDFs.
- Add parse failure errors.",Backlog,Urgent,3,"area:backend, mvp",RadReport AI,Milestone 4: Immediate AI Processing,Report Upload and Immediate Processing,Feature
Build Claude analysis service,"User story:
As a user, I want Claude to extract structured radiology report data.

Acceptance criteria:
- Claude uses claude-sonnet-4-20250514.
- Response is valid JSON.
- Extracted fields are stored.
- Invalid AI responses are handled safely.

Tasks:
- Add Anthropic SDK.
- Create claudeService.
- Implement report analysis prompt.
- Set max_tokens.
- Parse JSON response.
- Validate schema.
- Store BI-RADS, confidence, evidence, breast density, exam info, comparison, findings, recommendations, and red flags.",Backlog,Urgent,8,"area:ai, area:backend, medical-safety, mvp",RadReport AI,Milestone 4: Immediate AI Processing,Claude AI Report Analysis,Feature
Add evidence quote verification,"User story:
As a user, I want AI evidence quotes verified against the original PDF text.

Acceptance criteria:
- Evidence quotes are checked against raw_text.
- Missing quotes are flagged.
- UI can show verification status.
- Unverified evidence does not appear as fully trusted.

Tasks:
- Build evidence verification utility.
- Normalize whitespace in report text.
- Normalize whitespace in evidence quotes.
- Check each quote against raw text.
- Store verification result.
- Add evidence_verified metadata.
- Add warning for unverified evidence.",Backlog,Urgent,5,"area:ai, area:backend, medical-safety, mvp",RadReport AI,Milestone 4: Immediate AI Processing,Claude AI Report Analysis,Feature
